coseq_kmeans	hclust	PrimaryStage	StageBias	Label
FBgn0003744	6	1	E4	E4	uniform_low
FBgn0003748	2	3	E7	E7	early_constraint
FBgn0003751	1	1	E5	broad	hourglass
FBgn0003866	4	1	E2	broad	late_constraint
FBgn0003882	5	3	E1	E1	uniform_high
FBgn0003885	3	5	E3	broad	inverse_hourglass
FBgn0003886	3	2	E7	E7	inverse_hourglass
FBgn0003891	5	2	E4	broad	uniform_high
FBgn0003892	4	5	E2	E2	late_constraint
FBgn0003900	1	5	E2	E2	hourglass
FBgn0003964	4	1	E4	E4	late_constraint
FBgn0003978	4	2	E2	E2	late_constraint
FBgn0003997	4	5	E3	E3	late_constraint
FBgn0004034	2	4	E5	E5	early_constraint
FBgn0004049	6	5	E4	broad	uniform_low
FBgn0004050	3	5	E4	broad	inverse_hourglass
FBgn0004052	6	1	E1	E1	uniform_low
FBgn0004055	6	1	E8	broad	uniform_low
FBgn0004101	5	3	E4	E4	uniform_high
FBgn0004108	4	5	E3	E3	late_constraint
FBgn0004118	2	4	E7	E7	early_constraint
FBgn0004179	6	2	E1	E1	uniform_low
FBgn0004227	3	2	E3	E3	inverse_hourglass
FBgn0004237	4	2	E3	E3	late_constraint
FBgn0004244	2	4	E7	E7	early_constraint
FBgn0004364	4	1	E2	E2	late_constraint
FBgn0004368	2	3	E2	broad	early_constraint
FBgn0004370	3	3	E8	E8	inverse_hourglass
FBgn0004373	4	2	E1	broad	late_constraint
FBgn0004380	1	1	E5	E5	hourglass
FBgn0004387	4	5	E3	E3	late_constraint
FBgn0004390	5	2	E3	broad	uniform_high
FBgn0004394	1	1	E2	E2	hourglass
FBgn0004395	3	3	E8	broad	inverse_hourglass
FBgn0004396	5	2	E3	E3	uniform_high
FBgn0004428	2	4	E7	E7	early_constraint
FBgn0004435	5	2	E4	E4	uniform_high
FBgn0004449	3	2	E4	broad	inverse_hourglass
FBgn0004463	5	3	E2	E2	uniform_high
FBgn0004465	1	3	E7	broad	hourglass
FBgn0004507	6	2	E6	E6	uniform_low
FBgn0004509	5	2	E6	E6	uniform_high
FBgn0004510	5	1	E3	E3	uniform_high
FBgn0004513	2	4	E7	E7	early_constraint
FBgn0004552	2	4	E8	E8	early_constraint
FBgn0004554	2	4	E6	E6	early_constraint
FBgn0004569	5	2	E4	E4	uniform_high
FBgn0004574	3	2	E8	broad	inverse_hourglass
FBgn0004580	2	2	E8	E8	early_constraint
FBgn0004595	3	5	E3	E3	inverse_hourglass
FBgn0004597	1	3	E1	E1	hourglass
