coseq_kmeans	hclust	PrimaryStage	StageBias	Label
FBgn0029002	2	4	E3	E3	early_constraint
FBgn0029003	5	2	E4	E4	uniform_high
FBgn0029006	6	4	E1	E1	uniform_low
FBgn0029067	6	2	E1	E1	uniform_low
FBgn0029079	6	1	E1	E1	uniform_low
FBgn0029088	4	2	E1	E1	late_constraint
FBgn0029092	1	1	E1	broad	hourglass
FBgn0029095	3	5	E4	E4	inverse_hourglass
FBgn0029113	4	2	E1	E1	late_constraint
FBgn0029117	1	1	E5	broad	hourglass
FBgn0029123	4	1	E4	E4	late_constraint
FBgn0029131	1	3	E5	E5	hourglass
FBgn0029152	4	5	E1	E1	late_constraint
FBgn0029155	2	4	E7	E7	early_constraint
FBgn0029157	4	2	E6	E6	late_constraint
FBgn0029158	6	4	E8	broad	uniform_low
FBgn0029161	6	5	E8	broad	uniform_low
FBgn0029174	1	5	E7	broad	hourglass
FBgn0029175	5	3	E1	E1	uniform_high
FBgn0029503	5	3	E1	E1	uniform_high
FBgn0029504	3	5	E6	broad	inverse_hourglass
FBgn0029514	2	4	E2	broad	early_constraint
FBgn0029525	4	1	E3	broad	late_constraint
FBgn0029529	6	1	E1	broad	uniform_low
FBgn0029639	2	2	E6	E6	early_constraint
FBgn0029664	4	5	E1	E1	late_constraint
FBgn0029665	4	5	E1	E1	late_constraint
FBgn0029666	5	5	E1	E1	uniform_high
FBgn0029676	3	2	E4	broad	inverse_hourglass
FBgn0029685	3	2	E1	E1	inverse_hourglass
FBgn0029688	3	3	E4	broad	inverse_hourglass
FBgn0029710	2	4	E2	broad	early_constraint
FBgn0029713	5	1	E2	E2	uniform_high
FBgn0029718	5	1	E7	broad	uniform_high
FBgn0029737	3	2	E6	E6	inverse_hourglass
FBgn0029763	3	5	E1	E1	inverse_hourglass
FBgn0029771	5	4	E5	broad	uniform_high
FBgn0029800	4	1	E2	E2	late_constraint
FBgn0029801	5	5	E8	E8	uniform_high
FBgn0029810	2	4	E7	E7	early_constraint
FBgn0029811	4	2	E3	E3	late_constraint
FBgn0029818	5	4	E4	E4	uniform_high
FBgn0029819	5	5	E5	broad	uniform_high
FBgn0029820	4	5	E5	E5	late_constraint
FBgn0029822	5	5	E3	E3	uniform_high
FBgn0029826	2	4	E7	E7	early_constraint
FBgn0029830	3	2	E4	E4	inverse_hourglass
FBgn0029835	6	2	E8	E8	uniform_low
FBgn0029849	1	1	E7	E7	hourglass
FBgn0029854	3	2	E7	broad	inverse_hourglass
FBgn0029857	1	5	E3	E3	hourglass
FBgn0029860	1	1	E2	broad	hourglass
FBgn0029861	5	5	E3	E3	uniform_high
FBgn0029866	2	4	E4	E4	early_constraint
FBgn0029867	6	3	E1	E1	uniform_low
FBgn0029870	6	5	E6	E6	uniform_low
FBgn0029873	2	4	E1	E1	early_constraint
FBgn0029878	4	2	E3	E3	late_constraint
FBgn0029881	3	5	E6	E6	inverse_hourglass
FBgn0029882	1	1	E2	E2	hourglass
FBgn0029885	6	1	E1	broad	uniform_low
FBgn0029887	4	5	E3	broad	late_constraint
FBgn0029891	1	1	E6	E6	hourglass
FBgn0029892	2	4	E2	E2	early_constraint
FBgn0029895	3	5	E6	E6	inverse_hourglass
FBgn0029896	3	2	E8	E8	inverse_hourglass
FBgn0029898	2	4	E6	E6	early_constraint
FBgn0029899	3	2	E1	broad	inverse_hourglass
FBgn0029903	4	2	E2	E2	late_constraint
FBgn0029905	5	1	E3	E3	uniform_high
FBgn0029906	5	3	E1	E1	uniform_high
FBgn0029911	5	5	E4	E4	uniform_high
FBgn0029914	5	3	E3	E3	uniform_high
FBgn0029915	4	1	E1	E1	late_constraint
FBgn0029929	5	3	E8	broad	uniform_high
FBgn0029935	4	2	E1	E1	late_constraint
FBgn0029936	3	5	E2	broad	inverse_hourglass
FBgn0029937	5	1	E2	E2	uniform_high
FBgn0029939	3	2	E3	E3	inverse_hourglass
FBgn0029941	5	5	E3	broad	uniform_high
FBgn0029943	6	1	E1	E1	uniform_low
FBgn0029957	4	5	E4	broad	late_constraint
FBgn0029959	1	5	E2	broad	hourglass
FBgn0029969	2	2	E7	E7	early_constraint
FBgn0029975	5	1	E4	broad	uniform_high
FBgn0029976	4	2	E6	E6	late_constraint
FBgn0029979	3	2	E3	broad	inverse_hourglass
FBgn0029980	1	1	E7	broad	hourglass
FBgn0029992	5	5	E3	E3	uniform_high
FBgn0029996	2	3	E1	E1	early_constraint
FBgn0029997	3	5	E1	E1	inverse_hourglass
FBgn0030000	4	2	E3	broad	late_constraint
FBgn0030003	1	1	E1	E1	hourglass
FBgn0030006	1	4	E1	broad	hourglass
FBgn0030007	5	1	E3	broad	uniform_high
FBgn0030013	1	1	E7	E7	hourglass
FBgn0030018	4	2	E3	E3	late_constraint
FBgn0030025	1	3	E3	broad	hourglass
FBgn0030026	5	4	E1	E1	uniform_high
FBgn0030030	1	3	E1	E1	hourglass
FBgn0030034	4	2	E1	E1	late_constraint
FBgn0030035	3	5	E1	E1	inverse_hourglass
FBgn0030037	5	5	E4	E4	uniform_high
FBgn0030038	2	4	E1	E1	early_constraint
FBgn0030048	1	1	E1	E1	hourglass
FBgn0030049	6	5	E1	E1	uniform_low
FBgn0030052	6	3	E6	E6	uniform_low
FBgn0030053	4	2	E1	broad	late_constraint
FBgn0030054	4	2	E1	E1	late_constraint
FBgn0030055	5	3	E4	E4	uniform_high
FBgn0030057	4	5	E2	E2	late_constraint
FBgn0030060	6	2	E1	E1	uniform_low
FBgn0030061	1	1	E2	E2	hourglass
FBgn0030063	6	3	E1	E1	uniform_low
FBgn0030065	3	2	E4	E4	inverse_hourglass
FBgn0030066	5	3	E1	E1	uniform_high
FBgn0030067	2	1	E1	E1	early_constraint
FBgn0030081	5	5	E1	E1	uniform_high
FBgn0030082	6	2	E1	E1	uniform_low
FBgn0030087	3	5	E6	E6	inverse_hourglass
FBgn0030088	4	1	E1	E1	late_constraint
FBgn0030089	6	1	E4	broad	uniform_low
FBgn0030090	4	2	E4	broad	late_constraint
FBgn0030092	4	5	E1	E1	late_constraint
FBgn0030093	6	2	E1	E1	uniform_low
FBgn0030096	1	3	E3	broad	hourglass
FBgn0030099	5	2	E2	E2	uniform_high
FBgn0030109	6	2	E1	E1	uniform_low
FBgn0030114	3	5	E5	E5	inverse_hourglass
FBgn0030121	5	5	E1	broad	uniform_high
FBgn0030137	4	2	E7	broad	late_constraint
FBgn0030141	1	2	E1	E1	hourglass
FBgn0030148	2	4	E7	E7	early_constraint
FBgn0030151	2	4	E1	broad	early_constraint
FBgn0030159	3	3	E4	E4	inverse_hourglass
FBgn0030177	4	4	E3	broad	late_constraint
FBgn0030178	1	1	E3	broad	hourglass
FBgn0030183	5	2	E4	E4	uniform_high
FBgn0030189	5	5	E2	E2	uniform_high
FBgn0030196	6	4	E2	broad	uniform_low
FBgn0030208	6	2	E2	E2	uniform_low
FBgn0030228	1	1	E1	E1	hourglass
FBgn0030234	2	2	E6	E6	early_constraint
FBgn0030243	4	5	E1	E1	late_constraint
FBgn0030244	2	4	E5	E5	early_constraint
FBgn0030246	1	5	E5	broad	hourglass
FBgn0030261	2	4	E8	E8	early_constraint
FBgn0030266	3	2	E4	E4	inverse_hourglass
FBgn0030269	4	2	E3	broad	late_constraint
FBgn0030271	2	1	E5	E5	early_constraint
FBgn0030276	1	1	E4	E4	hourglass
FBgn0030291	1	1	E1	E1	hourglass
FBgn0030292	3	2	E7	broad	inverse_hourglass
FBgn0030301	4	5	E1	E1	late_constraint
FBgn0030305	3	2	E4	E4	inverse_hourglass
FBgn0030318	4	5	E4	broad	late_constraint
FBgn0030320	2	4	E1	E1	early_constraint
FBgn0030321	5	1	E3	broad	uniform_high
FBgn0030323	3	3	E1	E1	inverse_hourglass
FBgn0030328	6	2	E2	E2	uniform_low
FBgn0030330	1	5	E1	broad	hourglass
FBgn0030334	6	2	E8	E8	uniform_low
FBgn0030336	3	1	E1	E1	inverse_hourglass
FBgn0030341	4	1	E3	broad	late_constraint
FBgn0030342	6	2	E1	E1	uniform_low
FBgn0030344	1	1	E3	E3	hourglass
FBgn0030345	5	3	E5	broad	uniform_high
FBgn0030347	1	1	E8	E8	hourglass
FBgn0030349	4	3	E6	broad	late_constraint
FBgn0030352	1	5	E2	broad	hourglass
FBgn0030354	5	3	E4	broad	uniform_high
FBgn0030362	2	4	E7	E7	early_constraint
FBgn0030364	1	1	E2	broad	hourglass
FBgn0030366	4	2	E1	broad	late_constraint
FBgn0030373	6	1	E1	E1	uniform_low
FBgn0030391	5	5	E1	broad	uniform_high
FBgn0030400	3	5	E8	E8	inverse_hourglass
FBgn0030406	1	1	E1	broad	hourglass
FBgn0030410	2	1	E1	E1	early_constraint
FBgn0030412	5	2	E8	E8	uniform_high
FBgn0030418	3	2	E2	E2	inverse_hourglass
FBgn0030421	6	1	E1	E1	uniform_low
FBgn0030431	1	1	E6	E6	hourglass
FBgn0030435	5	5	E2	broad	uniform_high
FBgn0030447	6	1	E8	broad	uniform_low
FBgn0030451	3	2	E8	broad	inverse_hourglass
FBgn0030456	6	4	E1	E1	uniform_low
FBgn0030460	1	1	E4	broad	hourglass
FBgn0030465	6	1	E3	E3	uniform_low
FBgn0030467	1	1	E4	broad	hourglass
FBgn0030474	6	4	E1	E1	uniform_low
FBgn0030478	2	4	E7	E7	early_constraint
FBgn0030479	5	5	E3	E3	uniform_high
FBgn0030480	2	4	E1	broad	early_constraint
FBgn0030481	5	1	E7	broad	uniform_high
FBgn0030484	5	4	E5	E5	uniform_high
FBgn0030499	5	2	E4	E4	uniform_high
FBgn0030501	4	5	E1	E1	late_constraint
FBgn0030502	3	2	E4	broad	inverse_hourglass
FBgn0030503	1	1	E1	broad	hourglass
FBgn0030504	4	5	E1	E1	late_constraint
FBgn0030507	4	1	E1	E1	late_constraint
FBgn0030510	3	3	E5	E5	inverse_hourglass
FBgn0030511	2	2	E7	E7	early_constraint
FBgn0030512	2	4	E1	E1	early_constraint
FBgn0030514	4	2	E4	E4	late_constraint
FBgn0030518	2	3	E1	broad	early_constraint
FBgn0030519	1	5	E1	broad	hourglass
FBgn0030520	5	1	E8	broad	uniform_high
FBgn0030522	4	1	E1	E1	late_constraint
FBgn0030529	6	1	E8	broad	uniform_low
FBgn0030537	2	4	E7	E7	early_constraint
FBgn0030541	5	1	E5	E5	uniform_high
FBgn0030545	3	3	E1	E1	inverse_hourglass
FBgn0030551	6	1	E1	E1	uniform_low
FBgn0030554	3	2	E4	E4	inverse_hourglass
FBgn0030555	1	3	E4	E4	hourglass
FBgn0030556	6	2	E3	broad	uniform_low
FBgn0030572	6	1	E2	broad	uniform_low
FBgn0030584	6	1	E1	broad	uniform_low
FBgn0030588	2	4	E6	E6	early_constraint
FBgn0030593	2	4	E7	E7	early_constraint
FBgn0030594	2	4	E7	E7	early_constraint
FBgn0030608	5	1	E6	broad	uniform_high
FBgn0030610	2	4	E7	E7	early_constraint
FBgn0030611	1	5	E2	broad	hourglass
FBgn0030612	5	5	E7	E7	uniform_high
FBgn0030625	1	1	E1	E1	hourglass
FBgn0030629	4	2	E1	E1	late_constraint
FBgn0030630	2	4	E1	E1	early_constraint
FBgn0030631	6	5	E3	E3	uniform_low
FBgn0030648	3	2	E3	broad	inverse_hourglass
FBgn0030653	5	2	E3	E3	uniform_high
FBgn0030654	5	5	E4	E4	uniform_high
FBgn0030655	4	5	E1	E1	late_constraint
FBgn0030657	4	2	E1	E1	late_constraint
FBgn0030658	3	3	E1	broad	inverse_hourglass
FBgn0030660	1	1	E2	E2	hourglass
FBgn0030668	2	4	E7	E7	early_constraint
FBgn0030669	6	1	E2	broad	uniform_low
FBgn0030670	1	1	E8	broad	hourglass
FBgn0030672	3	2	E8	broad	inverse_hourglass
FBgn0030673	1	3	E2	E2	hourglass
FBgn0030674	4	2	E2	E2	late_constraint
FBgn0030676	6	1	E2	E2	uniform_low
FBgn0030678	2	3	E1	E1	early_constraint
FBgn0030679	4	1	E7	E7	late_constraint
FBgn0030692	2	4	E1	broad	early_constraint
FBgn0030694	3	3	E2	E2	inverse_hourglass
FBgn0030695	2	4	E8	E8	early_constraint
FBgn0030699	6	1	E1	E1	uniform_low
FBgn0030700	5	1	E1	E1	uniform_high
FBgn0030701	3	3	E4	broad	inverse_hourglass
FBgn0030704	5	1	E7	E7	uniform_high
FBgn0030710	4	1	E1	E1	late_constraint
FBgn0030711	6	3	E1	E1	uniform_low
FBgn0030716	3	5	E8	E8	inverse_hourglass
FBgn0030717	1	1	E1	E1	hourglass
FBgn0030719	4	2	E8	broad	late_constraint
FBgn0030720	6	1	E3	E3	uniform_low
FBgn0030724	1	1	E1	E1	hourglass
FBgn0030731	3	2	E6	E6	inverse_hourglass
FBgn0030734	6	5	E8	broad	uniform_low
FBgn0030735	3	2	E3	broad	inverse_hourglass
FBgn0030738	4	3	E1	E1	late_constraint
FBgn0030740	5	1	E1	E1	uniform_high
FBgn0030742	2	4	E7	E7	early_constraint
FBgn0030743	1	3	E2	broad	hourglass
FBgn0030744	1	1	E1	broad	hourglass
FBgn0030749	3	2	E6	broad	inverse_hourglass
FBgn0030752	1	1	E7	broad	hourglass
FBgn0030753	3	2	E3	E3	inverse_hourglass
FBgn0030759	5	2	E2	broad	uniform_high
FBgn0030761	5	4	E6	E6	uniform_high
FBgn0030768	6	4	E1	E1	uniform_low
FBgn0030775	2	4	E7	E7	early_constraint
FBgn0030776	2	4	E6	E6	early_constraint
FBgn0030787	5	1	E4	broad	uniform_high
FBgn0030789	5	5	E2	E2	uniform_high
FBgn0030791	6	1	E1	E1	uniform_low
FBgn0030792	6	1	E8	broad	uniform_low
FBgn0030793	6	5	E2	E2	uniform_low
FBgn0030796	3	5	E3	E3	inverse_hourglass
FBgn0030800	5	5	E5	E5	uniform_high
FBgn0030802	6	3	E1	E1	uniform_low
FBgn0030803	6	1	E1	E1	uniform_low
FBgn0030806	6	1	E3	E3	uniform_low
FBgn0030813	6	2	E1	E1	uniform_low
FBgn0030834	3	2	E1	broad	inverse_hourglass
FBgn0030836	2	4	E7	E7	early_constraint
FBgn0030850	1	1	E8	broad	hourglass
FBgn0030851	2	2	E1	E1	early_constraint
FBgn0030853	4	1	E7	broad	late_constraint
FBgn0030855	3	2	E1	E1	inverse_hourglass
FBgn0030858	5	5	E3	E3	uniform_high
FBgn0030863	1	1	E3	broad	hourglass
FBgn0030869	5	5	E4	E4	uniform_high
FBgn0030871	4	3	E2	E2	late_constraint
FBgn0030872	1	3	E6	E6	hourglass
FBgn0030873	1	1	E1	E1	hourglass
FBgn0030876	2	4	E8	E8	early_constraint
FBgn0030878	6	1	E7	broad	uniform_low
FBgn0030883	1	1	E1	broad	hourglass
FBgn0030892	5	1	E3	broad	uniform_high
FBgn0030894	4	5	E1	E1	late_constraint
FBgn0030915	1	2	E1	E1	hourglass
FBgn0030932	5	2	E6	broad	uniform_high
FBgn0030943	4	1	E1	E1	late_constraint
FBgn0030944	4	5	E1	broad	late_constraint
FBgn0030946	4	5	E3	E3	late_constraint
FBgn0030955	4	2	E3	E3	late_constraint
FBgn0030960	5	1	E7	broad	uniform_high
FBgn0030963	5	5	E1	E1	uniform_high
FBgn0030964	3	5	E5	E5	inverse_hourglass
FBgn0030966	5	1	E6	E6	uniform_high
FBgn0030968	2	2	E7	E7	early_constraint
FBgn0030969	6	1	E1	E1	uniform_low
FBgn0030973	5	5	E1	E1	uniform_high
FBgn0030974	3	5	E3	E3	inverse_hourglass
FBgn0030980	3	3	E5	E5	inverse_hourglass
FBgn0030990	2	4	E3	E3	early_constraint
FBgn0030996	4	5	E1	E1	late_constraint
FBgn0030999	2	4	E8	E8	early_constraint
FBgn0031003	1	1	E3	broad	hourglass
FBgn0031006	5	4	E4	E4	uniform_high
FBgn0031008	3	2	E1	broad	inverse_hourglass
FBgn0031011	5	3	E6	E6	uniform_high
FBgn0031012	2	4	E6	E6	early_constraint
FBgn0031016	3	2	E3	E3	inverse_hourglass
FBgn0031020	3	3	E3	broad	inverse_hourglass
FBgn0031022	6	2	E1	E1	uniform_low
FBgn0031023	5	2	E3	E3	uniform_high
FBgn0031036	1	1	E2	broad	hourglass
FBgn0031040	5	1	E1	broad	uniform_high
FBgn0031044	4	2	E1	E1	late_constraint
FBgn0031047	2	4	E1	broad	early_constraint
FBgn0031048	6	2	E1	E1	uniform_low
FBgn0031051	5	1	E1	E1	uniform_high
FBgn0031054	2	4	E3	E3	early_constraint
FBgn0031057	3	5	E4	broad	inverse_hourglass
FBgn0031059	3	5	E1	E1	inverse_hourglass
FBgn0031062	1	1	E1	E1	hourglass
FBgn0031069	3	3	E6	E6	inverse_hourglass
FBgn0031078	5	2	E2	E2	uniform_high
FBgn0031090	6	1	E1	E1	uniform_low
FBgn0031092	6	4	E6	E6	uniform_low
FBgn0031093	3	5	E1	E1	inverse_hourglass
FBgn0031098	5	5	E3	E3	uniform_high
FBgn0031107	6	2	E4	E4	uniform_low
FBgn0031114	4	2	E1	broad	late_constraint
FBgn0031118	3	5	E6	broad	inverse_hourglass
FBgn0031119	4	1	E4	E4	late_constraint
FBgn0031143	5	1	E3	broad	uniform_high
FBgn0031144	1	4	E3	broad	hourglass
FBgn0031148	2	1	E1	broad	early_constraint
FBgn0031149	4	2	E1	E1	late_constraint
FBgn0031150	5	3	E3	E3	uniform_high
FBgn0031161	6	1	E1	E1	uniform_low
FBgn0031174	3	5	E4	E4	inverse_hourglass
FBgn0031187	3	2	E6	broad	inverse_hourglass
FBgn0031188	5	1	E1	E1	uniform_high
FBgn0031191	5	1	E4	E4	uniform_high
FBgn0031195	3	3	E4	E4	inverse_hourglass
FBgn0031213	1	3	E8	E8	hourglass
FBgn0031216	4	2	E2	E2	late_constraint
FBgn0031220	3	2	E4	E4	inverse_hourglass
FBgn0031231	3	5	E1	broad	inverse_hourglass
FBgn0031238	1	1	E2	broad	hourglass
FBgn0031252	4	1	E2	E2	late_constraint
FBgn0031253	6	3	E1	E1	uniform_low
FBgn0031256	4	1	E1	E1	late_constraint
FBgn0031265	5	1	E3	E3	uniform_high
FBgn0031267	1	1	E8	E8	hourglass
FBgn0031282	4	3	E7	broad	late_constraint
FBgn0031284	5	3	E1	E1	uniform_high
FBgn0031286	5	1	E3	E3	uniform_high
FBgn0031287	3	5	E2	E2	inverse_hourglass
FBgn0031307	3	2	E4	E4	inverse_hourglass
FBgn0031310	6	3	E1	E1	uniform_low
FBgn0031312	3	2	E6	broad	inverse_hourglass
FBgn0031314	3	2	E1	E1	inverse_hourglass
FBgn0031318	4	5	E4	E4	late_constraint
FBgn0031319	4	5	E3	E3	late_constraint
FBgn0031320	3	1	E3	E3	inverse_hourglass
FBgn0031321	1	3	E3	E3	hourglass
FBgn0031322	2	4	E6	E6	early_constraint
FBgn0031324	2	4	E5	E5	early_constraint
FBgn0031351	1	5	E1	E1	hourglass
FBgn0031356	5	5	E3	E3	uniform_high
FBgn0031357	4	2	E7	broad	late_constraint
FBgn0031360	6	1	E1	E1	uniform_low
FBgn0031374	4	5	E6	broad	late_constraint
FBgn0031378	5	3	E3	E3	uniform_high
FBgn0031381	1	3	E1	E1	hourglass
FBgn0031391	3	5	E1	E1	inverse_hourglass
FBgn0031392	4	2	E4	broad	late_constraint
FBgn0031398	6	1	E1	E1	uniform_low
FBgn0031399	4	3	E3	E3	late_constraint
FBgn0031401	3	1	E6	E6	inverse_hourglass
FBgn0031419	6	1	E1	E1	uniform_low
FBgn0031420	3	3	E4	broad	inverse_hourglass
FBgn0031424	2	4	E8	E8	early_constraint
FBgn0031428	5	5	E5	broad	uniform_high
FBgn0031432	2	4	E6	E6	early_constraint
FBgn0031434	6	1	E1	E1	uniform_low
FBgn0031449	2	3	E6	E6	early_constraint
FBgn0031450	5	1	E5	E5	uniform_high
FBgn0031457	1	1	E5	E5	hourglass
FBgn0031478	1	1	E6	broad	hourglass
FBgn0031484	6	4	E2	E2	uniform_low
FBgn0031485	6	2	E2	E2	uniform_low
FBgn0031489	4	2	E5	E5	late_constraint
FBgn0031491	1	1	E1	E1	hourglass
FBgn0031493	2	4	E1	E1	early_constraint
FBgn0031495	1	3	E1	E1	hourglass
FBgn0031497	4	2	E3	broad	late_constraint
FBgn0031498	1	3	E8	broad	hourglass
FBgn0031500	5	3	E8	broad	uniform_high
FBgn0031516	3	3	E3	E3	inverse_hourglass
FBgn0031529	4	1	E1	E1	late_constraint
FBgn0031530	3	3	E5	E5	inverse_hourglass
FBgn0031535	5	3	E2	broad	uniform_high
FBgn0031536	5	2	E8	E8	uniform_high
FBgn0031538	4	4	E5	broad	late_constraint
FBgn0031558	2	1	E8	E8	early_constraint
FBgn0031560	2	4	E8	E8	early_constraint
FBgn0031561	2	4	E8	E8	early_constraint
FBgn0031562	2	4	E6	E6	early_constraint
FBgn0031563	2	1	E8	E8	early_constraint
FBgn0031566	4	1	E3	broad	late_constraint
FBgn0031573	5	1	E1	E1	uniform_high
FBgn0031589	1	1	E7	E7	hourglass
FBgn0031590	4	5	E3	broad	late_constraint
FBgn0031597	4	2	E1	E1	late_constraint
FBgn0031598	1	4	E1	E1	hourglass
FBgn0031601	6	5	E2	E2	uniform_low
FBgn0031603	6	1	E2	E2	uniform_low
FBgn0031606	1	1	E2	E2	hourglass
FBgn0031607	4	5	E2	E2	late_constraint
FBgn0031609	1	3	E1	E1	hourglass
FBgn0031610	4	1	E1	E1	late_constraint
FBgn0031628	4	5	E5	E5	late_constraint
FBgn0031632	5	1	E2	E2	uniform_high
FBgn0031633	1	1	E7	broad	hourglass
FBgn0031638	3	2	E1	E1	inverse_hourglass
FBgn0031639	4	1	E7	broad	late_constraint
FBgn0031640	4	1	E1	E1	late_constraint
FBgn0031645	6	1	E2	broad	uniform_low
FBgn0031651	6	1	E1	broad	uniform_low
FBgn0031652	5	3	E7	E7	uniform_high
FBgn0031657	2	3	E2	E2	early_constraint
FBgn0031659	3	5	E3	broad	inverse_hourglass
FBgn0031661	6	1	E2	E2	uniform_low
FBgn0031662	2	2	E2	E2	early_constraint
FBgn0031663	6	1	E1	E1	uniform_low
FBgn0031664	4	2	E2	E2	late_constraint
FBgn0031673	1	3	E2	broad	hourglass
FBgn0031678	6	2	E1	E1	uniform_low
FBgn0031681	2	4	E5	E5	early_constraint
FBgn0031683	1	1	E7	broad	hourglass
FBgn0031689	2	4	E6	E6	early_constraint
FBgn0031696	5	5	E1	broad	uniform_high
FBgn0031698	3	5	E3	broad	inverse_hourglass
FBgn0031702	3	2	E5	E5	inverse_hourglass
FBgn0031710	5	3	E7	broad	uniform_high
FBgn0031717	4	1	E3	E3	late_constraint
FBgn0031736	6	4	E1	broad	uniform_low
FBgn0031738	5	3	E6	E6	uniform_high
FBgn0031739	1	1	E1	E1	hourglass
FBgn0031740	1	1	E3	E3	hourglass
FBgn0031741	5	4	E6	E6	uniform_high
FBgn0031745	3	2	E4	E4	inverse_hourglass
FBgn0031752	1	1	E8	E8	hourglass
FBgn0031764	1	1	E2	broad	hourglass
FBgn0031766	5	1	E1	E1	uniform_high
FBgn0031772	6	1	E1	E1	uniform_low
FBgn0031774	5	3	E1	broad	uniform_high
FBgn0031776	4	5	E1	E1	late_constraint
FBgn0031777	5	3	E1	E1	uniform_high
FBgn0031779	3	5	E4	E4	inverse_hourglass
FBgn0031791	2	2	E7	E7	early_constraint
FBgn0031801	1	3	E7	E7	hourglass
FBgn0031813	2	2	E6	E6	early_constraint
FBgn0031815	5	4	E1	broad	uniform_high
FBgn0031817	6	1	E5	E5	uniform_low
FBgn0031820	1	1	E4	broad	hourglass
FBgn0031824	2	4	E7	E7	early_constraint
FBgn0031832	4	5	E2	E2	late_constraint
FBgn0031836	1	3	E1	broad	hourglass
FBgn0031842	3	2	E4	E4	inverse_hourglass
FBgn0031848	4	5	E2	E2	late_constraint
FBgn0031850	5	2	E4	E4	uniform_high
FBgn0031866	2	4	E8	E8	early_constraint
FBgn0031868	2	4	E3	broad	early_constraint
FBgn0031869	6	4	E6	E6	uniform_low
FBgn0031871	1	1	E1	E1	hourglass
FBgn0031872	4	3	E3	E3	late_constraint
FBgn0031876	3	2	E1	E1	inverse_hourglass
FBgn0031878	6	5	E2	E2	uniform_low
FBgn0031879	3	5	E4	E4	inverse_hourglass
FBgn0031882	1	1	E1	E1	hourglass
FBgn0031885	3	5	E8	broad	inverse_hourglass
FBgn0031886	6	1	E1	E1	uniform_low
FBgn0031893	6	2	E1	E1	uniform_low
FBgn0031895	4	1	E1	E1	late_constraint
FBgn0031896	4	2	E1	E1	late_constraint
FBgn0031897	1	4	E2	broad	hourglass
FBgn0031904	5	1	E1	broad	uniform_high
FBgn0031914	2	4	E5	E5	early_constraint
FBgn0031948	2	2	E6	E6	early_constraint
FBgn0031950	5	4	E7	broad	uniform_high
FBgn0031951	6	3	E1	E1	uniform_low
FBgn0031952	6	2	E4	E4	uniform_low
FBgn0031969	5	5	E8	E8	uniform_high
FBgn0031971	1	1	E2	E2	hourglass
FBgn0031987	1	1	E7	E7	hourglass
FBgn0031990	3	2	E6	broad	inverse_hourglass
FBgn0031992	3	5	E3	broad	inverse_hourglass
FBgn0031995	1	5	E5	E5	hourglass
FBgn0031996	4	2	E1	E1	late_constraint
FBgn0032000	6	5	E1	broad	uniform_low
FBgn0032002	2	1	E5	broad	early_constraint
FBgn0032005	6	1	E1	E1	uniform_low
FBgn0032016	6	2	E2	E2	uniform_low
FBgn0032017	1	1	E2	E2	hourglass
FBgn0032018	5	3	E3	E3	uniform_high
FBgn0032020	1	3	E1	broad	hourglass
FBgn0032021	2	2	E7	E7	early_constraint
FBgn0032025	2	4	E7	E7	early_constraint
FBgn0032026	5	3	E4	E4	uniform_high
FBgn0032029	1	1	E5	E5	hourglass
FBgn0032030	6	1	E1	E1	uniform_low
FBgn0032032	5	1	E7	E7	uniform_high
FBgn0032033	1	1	E2	broad	hourglass
FBgn0032034	6	5	E1	E1	uniform_low
FBgn0032036	6	3	E2	broad	uniform_low
FBgn0032042	5	1	E5	broad	uniform_high
FBgn0032050	1	1	E2	E2	hourglass
FBgn0032051	2	4	E1	E1	early_constraint
FBgn0032052	3	5	E1	E1	inverse_hourglass
FBgn0032053	4	5	E1	broad	late_constraint
FBgn0032068	2	4	E6	E6	early_constraint
FBgn0032069	2	4	E7	E7	early_constraint
FBgn0032076	2	3	E7	E7	early_constraint
FBgn0032077	2	3	E1	broad	early_constraint
FBgn0032078	5	1	E2	E2	uniform_high
FBgn0032084	5	3	E5	E5	uniform_high
FBgn0032100	2	4	E5	E5	early_constraint
FBgn0032101	6	2	E1	E1	uniform_low
FBgn0032129	3	3	E5	E5	inverse_hourglass
FBgn0032130	2	4	E1	broad	early_constraint
FBgn0032135	5	1	E1	E1	uniform_high
FBgn0032138	6	1	E7	broad	uniform_low
FBgn0032144	2	4	E7	E7	early_constraint
FBgn0032150	4	2	E2	E2	late_constraint
FBgn0032153	6	1	E2	E2	uniform_low
FBgn0032154	1	3	E4	E4	hourglass
FBgn0032156	4	3	E6	E6	late_constraint
FBgn0032157	5	1	E2	E2	uniform_high
FBgn0032160	4	1	E2	broad	late_constraint
FBgn0032161	5	1	E4	E4	uniform_high
FBgn0032162	4	2	E7	E7	late_constraint
FBgn0032166	1	1	E7	broad	hourglass
FBgn0032168	5	1	E1	E1	uniform_high
FBgn0032172	6	1	E1	E1	uniform_low
FBgn0032189	4	1	E1	E1	late_constraint
FBgn0032191	5	1	E4	broad	uniform_high
FBgn0032193	6	5	E1	broad	uniform_low
FBgn0032194	5	1	E4	broad	uniform_high
FBgn0032195	2	4	E4	broad	early_constraint
FBgn0032196	1	3	E1	E1	hourglass
FBgn0032197	5	1	E2	broad	uniform_high
FBgn0032202	3	3	E8	broad	inverse_hourglass
FBgn0032205	2	3	E7	broad	early_constraint
FBgn0032208	4	5	E1	broad	late_constraint
